date,Battery (Charging) -  MW,Exports -  MW,Imports -  MW,Distillate -  MW,Gas (Steam) -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Gas (Reciprocating) -  MW,Battery (Discharging) -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2022-05-27 07:00,-9.57,0.00,391.70,83.60,59.00,641.70,47.23,173.53,0.40,34.26,0.00,0.00,10.93,NaN,483.10
2022-05-27 07:30,-8.46,0.00,472.82,96.12,57.83,639.15,83.38,147.99,0.04,33.73,0.00,0.21,11.08,NaN,421.60
2022-05-27 08:00,-13.70,0.00,489.92,99.66,57.00,640.45,173.75,95.35,3.88,41.04,2.79,4.81,11.27,NaN,448.50
2022-05-27 08:30,-2.29,0.00,445.03,92.18,59.17,642.03,185.40,174.80,4.08,32.31,31.32,34.93,11.43,NaN,428.00
2022-05-27 09:00,-11.42,0.00,392.92,42.64,61.50,642.27,185.07,175.40,0.76,18.18,86.75,96.63,11.87,NaN,406.40
2022-05-27 09:30,-19.00,0.00,368.42,34.47,55.00,641.65,115.30,169.82,0.52,21.49,160.03,170.94,12.51,NaN,380.00
2022-05-27 10:00,-1.05,0.00,438.08,21.64,42.33,636.47,35.85,53.20,6.44,31.45,204.95,237.73,12.87,NaN,349.30
2022-05-27 10:30,-2.12,0.00,510.47,7.02,40.17,554.70,31.79,0.00,0.33,39.50,232.88,297.65,13.15,NaN,379.80
2022-05-27 11:00,-12.66,0.00,443.20,5.00,51.33,541.47,26.50,0.00,0.31,57.36,237.25,374.75,13.61,NaN,359.10
2022-05-27 11:30,-11.24,0.00,498.92,0.00,53.33,411.40,0.12,0.00,0.04,58.21,245.88,452.82,14.46,NaN,378.00
2022-05-27 12:00,-8.10,0.00,441.35,6.92,52.00,400.97,0.12,0.00,0.00,74.04,232.52,528.18,14.82,NaN,371.50
2022-05-27 12:30,-13.83,0.00,465.72,3.48,50.83,400.83,0.12,0.00,0.00,102.94,218.12,533.33,14.68,NaN,361.10
2022-05-27 13:00,-42.28,0.00,534.00,15.10,49.67,396.82,0.12,0.00,1.00,93.98,188.73,473.94,14.93,NaN,377.30
2022-05-27 13:30,-27.82,0.00,473.42,4.97,49.33,392.02,0.12,0.00,0.02,107.82,209.17,459.58,14.92,NaN,370.60
2022-05-27 14:00,-24.15,0.00,543.70,27.15,51.50,395.58,0.12,0.00,1.82,172.02,131.37,423.53,14.90,NaN,380.00
2022-05-27 14:30,-28.40,0.00,467.28,23.77,50.50,426.35,16.25,0.00,4.12,196.53,106.46,392.50,14.16,NaN,391.90
2022-05-27 15:00,-43.93,0.00,358.48,3.30,48.67,417.17,34.81,0.00,0.07,300.78,167.90,344.98,14.16,NaN,333.50
2022-05-27 15:30,-21.56,0.00,369.67,27.93,48.67,421.53,36.12,0.00,0.49,318.32,156.00,279.47,14.16,NaN,361.10
2022-05-27 16:00,-1.31,0.00,370.25,61.63,52.67,470.03,35.76,0.00,3.93,314.17,129.38,214.16,14.03,NaN,398.60
2022-05-27 16:30,-19.08,0.00,283.73,22.95,64.33,613.97,105.53,0.00,2.72,347.58,68.27,153.27,13.79,NaN,357.90
2022-05-27 17:00,-3.02,0.00,182.15,100.74,70.50,648.73,127.93,53.03,11.09,316.82,33.98,86.28,13.63,NaN,455.20
2022-05-27 17:30,-7.28,0.00,159.55,79.46,145.67,672.23,127.90,173.50,12.09,266.05,16.49,31.61,13.41,NaN,459.40
2022-05-27 18:00,-6.77,0.00,255.67,54.62,187.83,677.00,123.52,173.93,1.14,281.15,0.38,4.83,13.09,NaN,380.00
2022-05-27 18:30,-2.24,0.00,351.33,72.93,188.00,675.18,98.20,174.43,3.90,248.85,0.00,0.17,12.83,NaN,380.00
2022-05-27 19:00,-0.27,0.00,440.98,99.54,189.00,677.32,89.93,174.38,24.08,184.93,0.00,0.00,12.68,NaN,391.60
2022-05-27 19:30,-2.91,0.00,450.17,99.58,188.67,678.53,90.02,174.73,14.16,134.62,0.00,0.00,12.29,NaN,489.10
2022-05-27 20:00,-2.04,0.00,406.32,99.07,187.50,677.73,90.07,174.90,15.32,116.55,0.00,0.00,12.28,NaN,490.70
2022-05-27 20:30,-0.26,0.00,418.70,64.02,185.17,676.83,90.11,175.10,26.67,104.75,0.00,0.00,12.27,NaN,380.00
2022-05-27 21:00,-0.38,0.00,404.50,89.67,181.67,678.03,74.07,174.83,8.34,112.89,0.00,0.00,12.00,NaN,380.00
2022-05-27 21:30,-0.53,0.00,381.63,54.43,177.83,674.92,57.97,165.27,13.68,167.22,0.00,0.00,12.25,NaN,380.00
2022-05-27 22:00,-0.71,0.00,418.58,17.43,183.50,632.72,58.09,174.73,12.77,143.40,0.00,0.00,12.44,NaN,380.00
2022-05-27 22:30,-0.28,0.00,434.23,60.29,185.83,464.65,58.06,174.43,26.46,177.67,0.00,0.00,12.19,NaN,434.70
2022-05-27 23:00,-0.30,0.00,398.55,-0.37,182.00,444.90,58.02,174.55,21.48,214.88,0.00,0.00,11.55,NaN,369.10
2022-05-27 23:30,-0.41,0.00,356.40,31.28,185.00,440.87,57.92,173.92,14.74,236.55,0.00,0.00,10.87,NaN,380.00
2022-05-28 00:00,-0.49,0.00,408.67,18.18,182.83,438.52,57.97,174.33,15.95,281.08,0.00,0.00,11.09,NaN,380.00
2022-05-28 00:30,-5.37,0.00,407.53,0.00,150.33,402.18,58.00,137.68,2.39,368.15,0.00,0.00,11.67,NaN,355.20
2022-05-28 01:00,-2.53,0.00,432.42,0.00,69.67,407.45,58.07,96.05,6.94,462.93,0.00,0.00,11.69,NaN,348.80
2022-05-28 01:30,-1.30,0.00,410.43,0.00,61.00,403.75,57.90,4.01,1.31,489.50,0.00,0.00,11.42,NaN,334.30
2022-05-28 02:00,-2.37,0.00,334.52,0.00,55.17,405.53,58.00,0.00,9.42,515.55,0.00,0.00,11.05,NaN,327.70
2022-05-28 02:30,-10.55,0.00,374.40,0.00,63.00,407.43,31.35,0.00,2.19,448.47,0.00,0.00,10.78,NaN,327.80
2022-05-28 03:00,-9.78,0.00,410.52,0.00,51.83,403.62,29.04,0.00,5.28,369.55,0.00,0.00,10.31,NaN,329.40
2022-05-28 03:30,-6.30,0.00,447.65,0.00,54.00,406.32,28.99,0.00,5.40,284.68,0.00,0.00,10.36,NaN,336.60
